No;date;season;PM_Taiyuanjie;PM_US Post;PM_Xiaoheyan;DEWP;HUMI;PRES;TEMP;cbwd;Iws;precipitation;Iprec
32;2/1/2013 7:00;4;19;0;10;-31;68.59;1031;-27;SE;1;0;0
33;2/1/2013 8:00;4;24;0;13;-30;68.83;1032;-26;SW;2;0;0
34;2/1/2013 9:00;4;30;0;14;-28;63.39;1033;-23;SW;4;0;0
35;2/1/2013 10:00;4;0;0;0;-27;53.45;1034;-20;SW;7;0;0
36;2/1/2013 11:00;4;27;0;24;-27;45.02;1034;-18;SW;10;0;0
37;2/1/2013 12:00;4;26;0;24;-27;41.36;1034;-17;SW;13;0;0
38;2/1/2013 13:00;4;23;0;20;-26;45.35;1035;-17;SW;16;0;0
39;2/1/2013 14:00;4;20;0;20;-25;45.68;1035;-16;SW;20;0;0
40;2/1/2013 15:00;4;16;0;15;-25;45.68;1035;-16;SW;23;0;0
41;2/1/2013 16:00;4;41;0;45;-26;45.35;1035;-17;SW;25;0;0
42;2/1/2013 17:00;4;104;0;90;-26;49.35;1036;-18;SW;27;0;0
43;2/1/2013 18:00;4;136;0;135;-26;53.76;1036;-19;SE;3;0;0
44;2/1/2013 19:00;4;152;0;132;-26;58.6;1036;-20;SW;2;0;0
45;2/1/2013 20:00;4;175;0;156;-26;58.6;1037;-20;SW;5;0;0
46;2/1/2013 21:00;4;0;0;0;-26;58.6;1037;-20;SW;8;0;0
47;2/1/2013 22:00;4;150;0;151;-27;58.31;1037;-21;SW;9;0;0
48;2/1/2013 23:00;4;132;0;122;-26;63.93;1038;-21;SW;10;0;0
49;3/1/2013 0:00;4;91;0;80;-26;58.6;1038;-20;SW;13;0;0
50;3/1/2013 1:00;4;33;0;12;-27;63.66;1038;-22;SW;14;0;0
51;3/1/2013 2:00;4;26;0;9;-27;63.66;1039;-22;SW;15;0;0
52;3/1/2013 3:00;4;22;0;6;-26;63.93;1039;-21;SW;17;0;0
53;3/1/2013 4:00;4;17;0;3;-27;63.66;1039;-22;SW;19;0;0
54;3/1/2013 5:00;4;16;0;7;-28;63.39;1039;-23;SE;2;0;0
55;3/1/2013 6:00;4;25;0;11;-28;63.39;1040;-23;SW;2;0;0
56;3/1/2013 7:00;4;31;0;14;-28;63.39;1040;-23;SE;1;0;0
57;3/1/2013 8:00;4;40;0;25;-27;63.66;1041;-22;SE;3;0;0
58;3/1/2013 9:00;4;43;0;89;-25;58.89;1041;-19;SE;5;0;0
59;3/1/2013 10:00;4;37;0;25;-24;54.37;1041;-17;SE;7;0;0
60;3/1/2013 11:00;4;40;0;26;-24;46.01;1041;-15;SW;2;0;0
61;3/1/2013 12:00;4;51;0;46;-24;42.37;1040;-14;SW;5;0;0
62;3/1/2013 13:00;4;58;0;102;-23;42.7;1039;-13;SW;8;0;0
63;3/1/2013 14:00;4;54;0;112;-24;39.05;1039;-13;SW;11;0;0
64;3/1/2013 15:00;4;68;0;97;-23;42.7;1039;-13;SW;13;0;0
65;3/1/2013 16:00;4;98;0;94;-23;46.33;1039;-14;SW;15;0;0
66;3/1/2013 17:00;4;117;0;73;-24;46.01;1038;-15;SE;2;0;0
67;3/1/2013 18:00;4;104;0;80;-24;54.37;1038;-17;SE;4;0;0
68;3/1/2013 19:00;4;97;0;81;-24;50;1038;-16;SE;7;0;0
69;3/1/2013 20:00;4;102;0;190;-26;53.76;1038;-19;SE;9;0;0
70;3/1/2013 21:00;4;93;0;190;-25;64.19;1038;-20;SE;11;0;0
71;3/1/2013 22:00;4;91;0;167;-25;64.19;1038;-20;SE;13;0;0
72;3/1/2013 23:00;4;83;0;156;-25;58.89;1037;-19;SE;16;0;0
73;4/1/2013 0:00;4;74;0;164;-26;63.93;1036;-21;SE;18;0;0
74;4/1/2013 1:00;4;65;0;191;-26;63.93;1036;-21;SE;20;0;0
75;4/1/2013 2:00;4;76;0;217;-24;64.46;1036;-19;SE;22;0;0
76;4/1/2013 3:00;4;133;0;235;-25;70.03;1035;-21;cv;2;0;0
77;4/1/2013 4:00;4;222;0;226;-27;69.56;1035;-23;SE;1;0;0
78;4/1/2013 5:00;4;267;0;227;-26;69.79;1034;-22;SE;3;0;0
79;4/1/2013 6:00;4;295;0;241;-25;64.19;1034;-20;SE;5;0;0
80;4/1/2013 7:00;4;314;0;286;-24;64.46;1034;-19;SE;8;0;0
81;4/1/2013 8:00;4;351;0;329;-23;64.72;1033;-18;SE;11;0;0
82;4/1/2013 9:00;4;323;0;337;-22;59.74;1033;-16;SE;15;0;0
83;4/1/2013 10:00;4;382;0;367;-20;55.57;1032;-13;SE;18;0;0
84;4/1/2013 11:00;4;272;0;337;-19;51.56;1031;-11;SE;21;0;0
85;4/1/2013 12:00;4;142;0;210;-17;48.25;1029;-8;SE;23;0;0
86;4/1/2013 13:00;4;88;0;71;-17;44.65;1028;-7;SW;3;0;0
87;4/1/2013 14:00;4;56;0;46;-18;37.99;1028;-6;SW;6;0;0
88;4/1/2013 15:00;4;66;0;47;-18;37.99;1027;-6;SW;8;0;0
89;4/1/2013 16:00;4;89;0;55;-17;44.65;1026;-7;SW;10;0;0
90;4/1/2013 17:00;4;132;0;87;-14;61.92;1026;-8;SW;13;0;0
91;4/1/2013 18:00;4;137;0;108;-14;66.95;1026;-9;SE;2;0;0
92;4/1/2013 19:00;4;118;0;74;-15;66.71;1025;-10;SE;4;0;0
93;4/1/2013 20:00;4;82;0;64;-17;61.12;1025;-11;SE;6;0;0
94;4/1/2013 21:00;4;67;0;53;-18;56.16;1025;-11;SE;9;0;0
95;4/1/2013 22:00;4;63;0;46;-17;56.45;1025;-10;SE;12;0;0
96;4/1/2013 23:00;4;63;0;47;-17;61.12;1025;-11;SE;15;0;0
97;5/1/2013 0:00;4;66;0;48;-17;61.12;1024;-11;SE;18;0;0
98;5/1/2013 1:00;4;69;0;52;-17;61.12;1024;-11;SE;21;0;0
99;5/1/2013 2:00;4;80;0;61;-16;66.47;1024;-11;SE;24;0;0
100;5/1/2013 3:00;4;95;0;71;-18;65.98;1024;-13;SE;25;0;0
101;5/1/2013 4:00;4;127;0;96;-20;71.16;1024;-16;cv;1;0;0
102;5/1/2013 5:00;4;162;0;123;-21;77.21;1024;-18;cv;2;0;0
103;5/1/2013 6:00;4;0;0;0;-20;84.23;1025;-18;cv;2;0;0
104;5/1/2013 7:00;4;0;0;0;-22;83.96;1025;-20;SW;1;0;0
105;5/1/2013 8:00;4;82;0;66;-20;84.23;1026;-18;SW;2;0;0
106;5/1/2013 9:00;4;0;0;0;-17;84.62;1027;-15;SW;3;0;0
107;5/1/2013 10:00;4;90;0;48;-16;72.02;1028;-12;SW;5;0;0
108;5/1/2013 11:00;4;43;0;54;-18;56.16;1027;-11;SW;7;0;0
109;5/1/2013 12:00;4;43;0;48;-17;52.17;1027;-9;SW;10;0;0
110;5/1/2013 13:00;4;36;0;39;-17;44.65;1026;-7;SW;11;0;0
111;5/1/2013 14:00;4;30;0;36;-18;44.33;1026;-8;NW;3;0;0
112;5/1/2013 15:00;4;27;0;30;-18;44.33;1027;-8;NW;5;0;0
113;5/1/2013 16:00;4;41;0;30;-18;47.93;1027;-9;SE;2;0;0
114;5/1/2013 17:00;4;82;0;50;-19;55.87;1028;-12;SW;2;0;0
115;5/1/2013 18:00;4;61;0;61;-19;60.58;1028;-13;SW;3;0;0
116;5/1/2013 19:00;4;38;0;51;-19;65.73;1029;-14;SW;4;0;0
117;5/1/2013 20:00;4;36;0;35;-20;71.16;1029;-16;SE;2;0;0
118;5/1/2013 21:00;4;39;0;158;-22;70.71;1029;-18;SE;4;0;0
119;5/1/2013 22:00;4;136;0;232;-23;70.49;1029;-19;SE;6;0;0
120;5/1/2013 23:00;4;0;0;0;-24;70.26;1029;-20;SE;7;0;0
121;6/1/2013 0:00;4;0;0;0;-24;76.65;1029;-21;SE;8;0;0
122;6/1/2013 1:00;4;0;0;0;-24;76.65;1029;-21;SE;10;0;0
123;6/1/2013 2:00;4;0;0;0;-24;76.65;1029;-21;SE;12;0;0
124;6/1/2013 3:00;4;187;0;0;-26;76.26;1029;-23;SE;13;0;0
125;6/1/2013 4:00;4;0;0;300;-24;76.65;1029;-21;cv;0;0;0
126;6/1/2013 5:00;4;253;0;0;-26;76.26;1029;-23;SE;1;0;0
127;6/1/2013 6:00;4;289;0;0;-26;76.26;1029;-23;SE;2;0;0
128;6/1/2013 7:00;4;378;0;426;-26;76.26;1029;-23;cv;1;0;0
129;6/1/2013 8:00;4;380;0;486;-25;76.46;1029;-22;SE;2;0;0
130;6/1/2013 9:00;4;394;0;500;-20;77.39;1029;-17;SE;4;0;0
131;6/1/2013 10:00;4;376;0;401;-18;71.6;1029;-14;cv;0;0;0
132;6/1/2013 11:00;4;139;0;450;-18;60.85;1029;-12;NE;1;0;0
133;6/1/2013 12:00;4;82;0;380;-17;52.17;1028;-9;cv;1;0;0
134;6/1/2013 13:00;4;73;0;301;-17;52.17;1027;-9;SW;2;0;0
135;6/1/2013 14:00;4;73;0;55;-18;44.33;1027;-8;SW;4;0;0
136;6/1/2013 15:00;4;62;0;32;-18;44.33;1026;-8;SW;6;0;0
137;6/1/2013 16:00;4;89;0;37;-18;47.93;1026;-9;cv;1;0;0
138;6/1/2013 17:00;4;68;0;49;-19;51.56;1026;-11;SE;1;0;0
139;6/1/2013 18:00;4;50;0;82;-20;60.3;1026;-14;SE;2;0;0
140;6/1/2013 19:00;4;55;0;327;-20;65.48;1026;-15;SE;3;0;0
141;6/1/2013 20:00;4;105;0;453;-20;65.48;1026;-15;SE;5;0;0
142;6/1/2013 21:00;4;273;0;396;-20;65.48;1026;-15;SE;7;0;0
143;6/1/2013 22:00;4;277;0;333;-21;65.23;1026;-16;SE;9;0;0
144;6/1/2013 23:00;4;356;0;424;-21;65.23;1026;-16;SE;11;0;0
145;7/1/2013 0:00;4;499;0;402;-22;70.71;1026;-18;NE;2;0;0
146;7/1/2013 1:00;4;482;0;257;-23;70.49;1025;-19;NE;4;0;0
147;7/1/2013 2:00;4;326;0;184;-24;70.26;1025;-20;NE;8;0;0
148;7/1/2013 3:00;4;249;0;161;-24;70.26;1025;-20;NE;11;0;0
149;7/1/2013 4:00;4;228;0;144;-24;70.26;1025;-20;NE;16;0;0
150;7/1/2013 5:00;4;222;0;138;-24;70.26;1025;-20;NE;20;0;0
151;7/1/2013 6:00;4;214;0;151;-24;76.65;1025;-21;NE;23;0;0
152;7/1/2013 7:00;4;223;0;168;-24;76.65;1025;-21;NE;28;0;0
153;7/1/2013 8:00;4;247;0;211;-24;70.26;1025;-20;NE;31;0;0
154;7/1/2013 9:00;4;298;0;249;-22;70.71;1025;-18;NE;35;0;0
155;7/1/2013 10:00;4;0;0;0;-20;71.16;1025;-16;NE;39;0;0
156;7/1/2013 11:00;4;0;0;0;-18;65.98;1025;-13;NE;41;0;0
157;7/1/2013 12:00;4;245;0;201;-16;66.47;1025;-11;NE;43;0;0
158;7/1/2013 13:00;4;160;0;230;-14;66.95;1024;-9;NW;2;0;0
159;7/1/2013 14:00;4;161;0;159;-13;62.18;1025;-7;cv;1;0;0
160;7/1/2013 15:00;4;137;0;141;-14;61.92;1025;-8;cv;2;0;0
161;7/1/2013 16:00;4;189;0;155;-14;61.92;1025;-8;NW;2;0;0
162;7/1/2013 17:00;4;241;0;189;-14;66.95;1026;-9;NE;1;0;0
163;7/1/2013 18:00;4;126;0;200;-16;61.39;1026;-10;NW;2;0;0
164;7/1/2013 19:00;4;0;0;0;-17;66.23;1027;-12;NE;3;0;0
165;7/1/2013 20:00;4;71;0;115;-18;65.98;1028;-13;NW;3;0;0
166;7/1/2013 21:00;4;67;0;72;-19;60.58;1028;-13;NE;5;0;0
167;7/1/2013 22:00;4;103;0;77;-20;65.48;1029;-15;NW;3;0;0
168;7/1/2013 23:00;4;67;0;73;-20;65.48;1029;-15;NE;3;0;0
169;8/1/2013 0:00;4;64;0;73;-21;70.94;1029;-17;NE;5;0;0
170;8/1/2013 1:00;4;0;0;0;-22;64.97;1029;-17;NE;7;0;0
171;8/1/2013 2:00;4;63;0;58;-23;76.84;1030;-20;SE;1;0;0
172;8/1/2013 3:00;4;101;0;89;-23;76.84;1030;-20;NE;1;0;0
173;8/1/2013 4:00;4;107;0;133;-25;76.46;1030;-22;NE;2;0;0
174;8/1/2013 5:00;4;104;0;137;-25;76.46;1030;-22;NE;3;0;0
175;8/1/2013 6:00;4;116;0;165;-27;76.07;1030;-24;SE;1;0;0
176;8/1/2013 7:00;4;121;0;150;-27;76.07;1031;-24;SE;2;0;0
177;8/1/2013 8:00;4;112;0;110;-27;76.07;1032;-24;SW;1;0;0
178;8/1/2013 9:00;4;0;0;0;-23;76.84;1032;-20;SW;2;0;0
179;8/1/2013 10:00;4;132;0;107;-21;77.21;1033;-18;SW;4;0;0
180;8/1/2013 11:00;4;0;0;0;-20;65.48;1032;-15;SW;7;0;0
181;8/1/2013 12:00;4;71;0;63;-21;55.28;1032;-14;SW;10;0;0
182;8/1/2013 13:00;4;52;0;48;-21;55.28;1031;-14;NW;3;0;0
183;8/1/2013 14:00;4;37;0;32;-22;46.66;1031;-13;SW;2;0;0
184;8/1/2013 15:00;4;31;0;28;-23;46.33;1031;-14;SW;5;0;0
185;8/1/2013 16:00;4;29;0;20;-23;50.31;1031;-15;SW;7;0;0
186;8/1/2013 17:00;4;0;0;0;-24;50;1030;-16;SW;9;0;0
187;8/1/2013 18:00;4;114;0;162;-24;59.18;1030;-18;SW;11;0;0
188;8/1/2013 19:00;4;123;0;178;-24;59.18;1030;-18;SE;2;0;0
189;8/1/2013 20:00;4;93;0;232;-23;64.72;1030;-18;SE;4;0;0
190;8/1/2013 21:00;4;109;0;117;-26;69.79;1030;-22;SE;6;0;0
191;8/1/2013 22:00;4;123;0;260;-26;69.79;1030;-22;SE;7;0;0
192;8/1/2013 23:00;4;109;0;313;-26;76.26;1030;-23;SE;9;0;0
193;9/1/2013 0:00;4;124;0;263;-27;76.07;1030;-24;SE;11;0;0
194;9/1/2013 1:00;4;151;0;238;-28;69.32;1031;-24;cv;1;0;0
195;9/1/2013 2:00;4;173;0;214;-28;75.87;1031;-25;SE;2;0;0
196;9/1/2013 3:00;4;152;0;232;-28;75.87;1030;-25;SE;3;0;0
197;9/1/2013 4:00;4;87;0;218;-29;69.08;1030;-25;SE;4;0;0
198;9/1/2013 5:00;4;72;0;0;-28;69.32;1030;-24;SW;2;0;0
199;9/1/2013 6:00;4;144;0;0;-29;69.08;1030;-25;SE;2;0;0
200;9/1/2013 7:00;4;299;0;0;-29;69.08;1030;-25;SE;4;0;0
201;9/1/2013 8:00;4;0;0;0;-30;68.83;1030;-26;SE;5;0;0
202;9/1/2013 9:00;4;196;0;0;-25;70.03;1030;-21;SE;6;0;0
203;9/1/2013 10:00;4;154;0;422;-23;64.72;1030;-18;SW;2;0;0
204;9/1/2013 11:00;4;118;0;233;-22;59.74;1029;-16;SW;4;0;0
205;9/1/2013 12:00;4;0;0;0;-23;46.33;1028;-14;SW;7;0;0
206;9/1/2013 13:00;4;56;0;61;-23;42.7;1028;-13;SW;10;0;0
207;9/1/2013 14:00;4;0;0;0;-23;39.38;1028;-12;SW;12;0;0
208;9/1/2013 15:00;4;50;0;33;-23;39.38;1028;-12;SW;14;0;0
209;9/1/2013 16:00;4;49;0;40;-23;39.38;1028;-12;SW;16;0;0
210;9/1/2013 17:00;4;0;0;0;-24;42.37;1028;-14;SE;2;0;0
211;9/1/2013 18:00;4;0;0;0;-24;46.01;1028;-15;SE;4;0;0
212;9/1/2013 19:00;4;67;0;140;-24;50;1028;-16;SE;6;0;0
213;9/1/2013 20:00;4;82;0;230;-25;54.07;1028;-18;SE;8;0;0
214;9/1/2013 21:00;4;107;0;312;-26;58.6;1028;-20;SE;10;0;0
215;9/1/2013 22:00;4;152;0;302;-27;58.31;1029;-21;SE;12;0;0
216;9/1/2013 23:00;4;169;0;274;-26;69.79;1029;-22;SE;14;0;0
217;10/1/2013 0:00;4;184;0;242;-27;63.66;1029;-22;SE;15;0;0
218;10/1/2013 1:00;4;168;0;193;-27;69.56;1029;-23;cv;1;0;0
219;10/1/2013 2:00;4;180;0;211;-26;69.79;1029;-22;cv;1;0;0
220;10/1/2013 3:00;4;258;0;235;-27;63.66;1029;-22;NE;3;0;0
221;10/1/2013 4:00;4;286;0;241;-26;69.79;1028;-22;SE;1;0;0
222;10/1/2013 5:00;4;363;0;245;-24;64.46;1028;-19;SE;4;0;0
223;10/1/2013 6:00;4;373;0;253;-27;69.56;1029;-23;NE;6;0;0
224;10/1/2013 7:00;4;0;0;0;-27;69.56;1029;-23;NE;10;0;0
225;10/1/2013 8:00;4;384;0;290;-27;69.56;1030;-23;NE;14;0;0
226;10/1/2013 9:00;4;412;0;329;-25;70.03;1030;-21;NE;18;0;0
227;10/1/2013 10:00;4;321;0;312;-22;64.97;1030;-17;NE;21;0;0
228;10/1/2013 11:00;4;269;0;284;-20;60.3;1029;-14;NE;24;0;0
229;10/1/2013 12:00;4;242;0;224;-18;60.85;1029;-12;NE;26;0;0
230;10/1/2013 13:00;4;201;0;147;-16;61.39;1028;-10;NE;29;0;0
231;10/1/2013 14:00;4;0;0;0;-15;61.65;1028;-9;NE;32;0;0
232;10/1/2013 15:00;4;118;0;68;-15;57.02;1028;-8;NE;35;0;0
233;10/1/2013 16:00;4;88;0;132;-16;56.74;1028;-9;NE;38;0;0
234;10/1/2013 17:00;4;87;0;182;-17;61.12;1028;-11;NE;41;0;0
235;10/1/2013 18:00;4;133;0;299;-17;56.45;1028;-10;SE;2;0;0
236;10/1/2013 19:00;4;251;0;304;-17;61.12;1028;-11;SE;3;0;0
237;10/1/2013 20:00;4;0;0;0;-18;65.98;1028;-13;NE;1;0;0
238;10/1/2013 21:00;4;283;0;298;-18;60.85;1028;-12;SE;2;0;0
239;10/1/2013 22:00;4;287;0;298;-19;60.58;1027;-13;SE;4;0;0
240;10/1/2013 23:00;4;269;0;267;-18;60.85;1027;-12;SE;7;0;0
241;11/1/2013 0:00;4;245;0;243;-15;61.65;1027;-9;SE;9;0;0
242;11/1/2013 1:00;4;225;0;178;-13;67.19;1026;-8;SE;11;0;0
243;11/1/2013 2:00;4;0;0;0;-12;67.42;1026;-7;SE;14;0;0
244;11/1/2013 3:00;4;0;0;0;-11;73.05;1026;-7;SE;16;0;0
245;11/1/2013 4:00;4;0;0;0;-11;73.05;1025;-7;SE;18;0;0
246;11/1/2013 5:00;4;0;0;0;-11;67.65;1024;-6;SE;21;0;0
247;11/1/2013 6:00;4;0;0;0;-11;73.05;1024;-7;SE;23;0;0
248;11/1/2013 7:00;4;0;0;0;-11;73.05;1024;-7;SE;25;0;0
249;11/1/2013 8:00;4;82;0;87;-11;67.65;1025;-6;SE;29;0;0
250;11/1/2013 9:00;4;0;0;0;-11;62.69;1024;-5;SE;33;0;0
251;11/1/2013 10:00;4;87;0;78;-9;68.11;1024;-4;SW;4;0;0
252;11/1/2013 11:00;4;91;0;69;-9;63.2;1023;-3;SE;5;0;0
253;11/1/2013 12:00;4;102;0;74;-8;63.45;1022;-2;SW;5;0;0
254;11/1/2013 13:00;4;113;0;91;-7;68.56;1021;-2;SW;10;0;0
255;11/1/2013 14:00;4;173;0;104;-7;68.56;1020;-2;SW;14;0;0
256;11/1/2013 15:00;4;181;0;0;-6;74.03;1020;-2;SW;17;0.2;0.2
257;11/1/2013 16:00;4;0;0;0;-5;86.04;1020;-3;SW;19;0.6;0.8
258;11/1/2013 17:00;4;203;0;151;-4;92.79;1020;-3;SW;23;1.1;1.9
259;11/1/2013 18:00;4;321;0;226;-4;100;1021;-4;SW;27;0.5;2.4
260;11/1/2013 19:00;4;404;0;329;-6;92.67;1022;-5;SW;30;0.5;2.9
261;11/1/2013 20:00;4;287;0;343;-9;92.48;1022;-8;NW;5;0;0
262;11/1/2013 21:00;4;147;0;196;-10;92.42;1022;-9;NW;9;0;0
263;11/1/2013 22:00;4;178;0;156;-12;85.23;1023;-10;NW;13;0;0
264;11/1/2013 23:00;4;180;0;193;-14;84.99;1024;-12;NW;17;0;0
265;12/1/2013 0:00;4;165;0;172;-15;84.87;1024;-13;NW;20;0;0
266;12/1/2013 1:00;4;162;0;167;-16;84.74;1025;-14;NW;23;0;0
267;12/1/2013 2:00;4;165;0;173;-16;84.74;1025;-14;NW;24;0;0
268;12/1/2013 3:00;4;168;0;175;-16;84.74;1024;-14;cv;1;0;0
269;12/1/2013 4:00;4;172;0;191;-16;84.74;1024;-14;SE;2;0;0
270;12/1/2013 5:00;4;186;0;205;-17;84.62;1024;-15;cv;1;0;0
271;12/1/2013 6:00;4;201;0;203;-17;84.62;1023;-15;cv;2;0;0
272;12/1/2013 7:00;4;0;0;0;-18;84.49;1023;-16;SE;1;0;0
273;12/1/2013 8:00;4;0;0;0;-19;84.36;1023;-17;cv;0;0;0
274;12/1/2013 9:00;4;189;0;239;-18;84.49;1023;-16;SW;1;0;0
275;12/1/2013 10:00;4;195;0;274;-16;92.02;1023;-15;cv;0;0;0
276;12/1/2013 11:00;4;256;0;237;-14;84.99;1023;-12;cv;0;0;0
277;12/1/2013 12:00;4;253;0;193;-13;92.22;1023;-12;SW;4;0;0
278;12/1/2013 13:00;4;207;0;198;-13;85.11;1023;-11;SW;6;0;0
279;12/1/2013 14:00;4;209;0;209;-13;85.11;1024;-11;SW;9;0;0
280;12/1/2013 15:00;4;179;0;133;-13;78.61;1025;-10;SW;11;0;0
281;12/1/2013 16:00;4;183;0;151;-13;85.11;1025;-11;SW;12;0;0
282;12/1/2013 17:00;4;196;0;296;-15;84.87;1026;-13;SW;14;0;0
283;12/1/2013 18:00;4;0;0;0;-17;84.62;1027;-15;SE;1;0;0
284;12/1/2013 19:00;4;299;0;340;-19;84.36;1027;-17;cv;1;0;0
285;12/1/2013 20:00;4;374;0;300;-18;84.49;1027;-16;NE;2;0;0
286;12/1/2013 21:00;4;286;0;258;-18;84.49;1028;-16;NE;6;0;0
287;12/1/2013 22:00;4;260;0;242;-20;84.23;1028;-18;NE;10;0;0
288;12/1/2013 23:00;4;321;0;250;-20;84.23;1027;-18;NE;14;0;0
289;13/1/2013 0:00;4;0;0;0;-20;84.23;1028;-18;NE;16;0;0
290;13/1/2013 1:00;4;348;0;323;-21;84.09;1028;-19;NE;19;0;0
291;13/1/2013 2:00;4;381;0;389;-22;77.02;1028;-19;NE;23;0;0
292;13/1/2013 3:00;4;457;0;389;-22;83.96;1028;-20;NE;26;0;0
293;13/1/2013 4:00;4;457;0;315;-23;76.84;1028;-20;NE;29;0;0
294;13/1/2013 5:00;4;406;0;346;-23;83.82;1028;-21;NE;33;0;0
295;13/1/2013 6:00;4;417;0;314;-24;76.65;1027;-21;NE;35;0;0
296;13/1/2013 7:00;4;396;0;319;-24;76.65;1027;-21;NE;37;0;0
297;13/1/2013 8:00;4;351;0;375;-24;76.65;1027;-21;NE;41;0;0
298;13/1/2013 9:00;4;324;0;355;-22;83.96;1026;-20;NE;46;0;0
299;13/1/2013 10:00;4;330;0;313;-19;84.36;1026;-17;NE;50;0;0
300;13/1/2013 11:00;4;330;0;305;-17;84.62;1025;-15;NE;53;0;0
301;13/1/2013 12:00;4;305;0;353;-16;78.1;1024;-13;NE;55;0;0
302;13/1/2013 13:00;4;0;0;0;-13;78.61;1023;-10;cv;1;0;0
303;13/1/2013 14:00;4;287;0;347;-13;72.65;1023;-9;cv;2;0;0
304;13/1/2013 15:00;4;307;0;348;-13;67.19;1022;-8;cv;3;0;0
305;13/1/2013 16:00;4;280;0;387;-12;72.85;1022;-8;NE;2;0;0
306;13/1/2013 17:00;4;731;0;352;-11;78.94;1022;-8;NE;3;0;0
307;13/1/2013 18:00;4;512;0;391;-11;78.94;1022;-8;NW;1;0;0
308;13/1/2013 19:00;4;266;0;322;-12;72.85;1022;-8;cv;1;0;0
309;13/1/2013 20:00;4;0;0;0;-11;78.94;1021;-8;SW;3;0;0
310;13/1/2013 21:00;4;271;0;299;-10;79.1;1021;-7;SE;1;0;0
311;13/1/2013 22:00;4;252;0;241;-10;79.1;1021;-7;cv;1;0;0
312;13/1/2013 23:00;4;321;0;251;-11;73.05;1021;-7;SW;1;0;0
313;14/1/2013 0:00;4;460;0;326;-10;79.1;1022;-7;NW;2;0;0
314;14/1/2013 1:00;4;487;0;452;-10;85.47;1023;-8;NW;6;0;0
315;14/1/2013 2:00;4;435;0;395;-10;85.47;1023;-8;NW;10;0;0
316;14/1/2013 3:00;4;367;0;389;-14;84.99;1024;-12;NW;13;0;0
317;14/1/2013 4:00;4;383;0;392;-14;84.99;1025;-12;NW;17;0;0
318;14/1/2013 5:00;4;381;0;364;-16;84.74;1026;-14;NW;23;0;0
319;14/1/2013 6:00;4;385;0;381;-18;77.75;1027;-15;NW;26;0;0
320;14/1/2013 7:00;4;0;0;0;-19;77.57;1028;-16;NE;3;0;0
321;14/1/2013 8:00;4;388;0;432;-19;84.36;1029;-17;NW;3;0;0
